chromosome	location	beta_diet	se_beta_diet	pvalue	info
chr10	18262141	0.1744	0.2302	0.436268254	chr10_18262141
chr10	18262244	-0.1213	0.3997	0.740588634	chr10_18262244
chr10	18262247	0.2796	0.3194	0.355601438	chr10_18262247
chr10	18262249	0.1957	0.3102	0.506934362	chr10_18262249
chr10	1826225	-0.06889	0.7107	0.890408638	chr10_1826225
chr10	18262272	-0.3219	0.2321	0.153914788	chr10_18262272
chr10	18262866	0.262	0.3605	0.435885654	chr10_18262866
chr10	18262873	-0.1056	0.4641	0.797273781	chr10_18262873
chr10	18262881	0.1195	0.4881	0.779085201	chr10_18262881
chr10	18262884	0.3047	0.3894	0.395580199	chr10_18262884
chr10	18262896	-0.03377	0.3597	0.919853405	chr10_18262896
chr10	18262908	0.8232	0.4237	0.031958357	chr10_18262908
chr10	18262939	0.6351	0.2854	0.020240055	chr10_18262939
chr10	18263865	0.3866	0.3692	0.259855544	chr10_18263865
chr10	18263871	0.197	0.3747	0.570668682	chr10_18263871
chr10	18263877	-0.2651	0.3392	0.406086991	chr10_18263877
chr10	18263884	0.148	0.2746	0.575129786	chr10_18263884
chr10	18263889	0.4728	0.2883	0.086771707	chr10_18263889
chr10	18263930	-0.07042	0.281	0.793995076	chr10_18263930
chr10	18263936	-0.05192	0.2186	0.807696993	chr10_18263936
chr10	18263939	0.04673	0.3101	0.874057227	chr10_18263939
chr10	1826465	-0.4256	0.4288	0.271912301	chr10_1826465
chr10	1826495	0.4265	0.6933	0.393305321	chr10_1826495
chr10	1826558	-0.118	0.4133	0.7538713	chr10_1826558
chr10	1826562	0.7712	0.6058	0.10958736	chr10_1826562
chr10	1826611	-0.2956	0.3579	0.376415741	chr10_1826611
chr10	18275371	0.04781	0.3644	0.887957507	chr10_18275371
chr10	18275521	-0.017	0.638	0.972396102	chr10_18275521
chr10	18275561	0.07582	0.8826	0.85501089	chr10_18275561
chr10	18275567	0.7884	0.8784	0.060382423	chr10_18275567
chr10	18283848	-0.3567	0.7021	0.475554328	chr10_18283848
chr10	18293775	-0.307	0.2804	0.254027026	chr10_18293775
chr10	18294739	-0.05196	0.4452	0.896296469	chr10_18294739
chr10	18294773	-0.4046	0.5954	0.39766255	chr10_18294773
chr10	18294896	0.2548	0.5611	0.583275478	chr10_18294896
chr10	18294913	-0.4293	0.4296	0.268457074	chr10_18294913
chr10	18294943	0.2826	0.3702	0.411216265	chr10_18294943
chr10	18295122	-0.987	0.7671	0.04489621	chr10_18295122
chr10	18295259	-0.04548	0.7184	0.927486883	chr10_18295259
chr10	18295295	-0.9225	0.8199	0.049381611	chr10_18295295
chr10	18303949	0.2993	0.8774	0.477068162	chr10_18303949
chr10	18304676	0.0919	0.4959	0.831008328	chr10_18304676
chr10	18304843	-0.2905	0.5074	0.506429839	chr10_18304843
chr10	18304852	-0.09278	0.4672	0.822284423	chr10_18304852
chr10	18304860	-0.4511	0.3818	0.201126011	chr10_18304860
chr10	18304885	-0.5649	0.4941	0.188500952	chr10_18304885
chr10	1830565	-0.2666	0.5868	0.57473948	chr10_1830565
chr10	18306350	0.6221	0.3496	0.057523659	chr10_18306350
chr10	18306434	0.02557	0.3666	0.940239815	chr10_18306434
chr10	18306454	-0.148	0.4214	0.6985524	chr10_18306454
chr10	18306461	0.0975	0.3897	0.78587562	chr10_18306461
chr10	18306466	-0.1751	0.3379	0.58191823	chr10_18306466
chr10	18306470	-0.1095	0.3641	0.74676654	chr10_18306470
chr10	18306479	-0.22	0.3789	0.530390998	chr10_18306479
chr10	18306482	-0.05793	0.4204	0.879289661	chr10_18306482
chr10	18306485	-0.1301	0.3279	0.674494669	chr10_18306485
chr10	18306487	0.04287	0.2895	0.877051683	chr10_18306487
chr10	18306491	-0.03913	0.3197	0.897218966	chr10_18306491
chr10	18306512	-0.08493	0.3328	0.786679762	chr10_18306512
chr10	18306524	0.07622	0.3102	0.796050346	chr10_18306524
chr10	18306538	-0.3284	0.3285	0.289857398	chr10_18306538
chr10	18306543	-0.05355	0.3811	0.879199596	chr10_18306543
chr10	18306545	-0.1941	0.3732	0.575070766	chr10_18306545
chr10	18306552	-0.003105	0.3589	0.992604537	chr10_18306552
chr10	1830682	0.02812	0.3132	0.924680662	chr10_1830682
chr10	1830775	-0.327	0.3727	0.344402153	chr10_1830775
chr10	1830825	0.1043	0.331	0.738433083	chr10_1830825
chr10	1830847	0.2047	0.1987	0.293186972	chr10_1830847
chr10	1831294	0.366	0.3018	0.203359921	chr10_1831294
chr10	18315847	0.8388	0.6994	0.093348199	chr10_18315847
chr10	1832	0.5843	0.2838	0.031783205	chr10_1832
chr10	1832217	0.06811	0.4441	0.864088396	chr10_1832217
chr10	1832258	-0.1921	0.4911	0.65340072	chr10_1832258
chr10	1832276	-0.1337	0.337	0.673473994	chr10_1832276
chr10	18330828	0.3077	0.6106	0.524564719	chr10_18330828
chr10	18331882	0.5913	0.5065	0.175754661	chr10_18331882
chr10	18332611	0.9297	0.6552	0.060343024	chr10_18332611
chr10	18332638	0.401	0.7183	0.422316626	chr10_18332638
chr10	18332712	1.004	0.4256	0.009136338	chr10_18332712
chr10	18335904	-0.3685	0.4288	0.341468338	chr10_18335904
chr10	18339155	-0.3	0.5782	0.524822481	chr10_18339155
chr10	1834063	-0.1329	0.3677	0.697524703	chr10_1834063
chr10	1834080	-0.0877	0.3542	0.791190483	chr10_1834080
chr10	18341694	0.08869	0.5228	0.842257602	chr10_18341694
chr10	18341717	0.3672	0.4137	0.329589259	chr10_18341717
chr10	18356778	-0.01501	0.7123	0.9760485	chr10_18356778
chr10	18356923	-0.4055	0.6904	0.416857257	chr10_18356923
chr10	18357198	-0.02564	0.5826	0.95681692	chr10_18357198
chr10	183579	-0.06544	0.437	0.867774031	chr10_183579
chr10	18358667	-0.1553	0.8628	0.721809163	chr10_18358667
chr10	183593	-0.09135	0.3682	0.789587987	chr10_183593
chr10	18361992	0.3143	0.6953	0.529385088	chr10_18361992
chr10	18362000	0.05733	0.6015	0.905031539	chr10_18362000
chr10	18362039	0.2729	0.5583	0.555741736	chr10_18362039
chr10	183621	0.3682	0.4162	0.330581665	chr10_183621
chr10	18367023	-0.8002	0.6245	0.100881598	chr10_18367023
chr10	18367033	0.07185	0.5606	0.876999533	chr10_18367033
chr10	18367085	0.5341	0.3318	0.087939031	chr10_18367085
chr10	1836713	-0.5245	0.4138	0.163826441	chr10_1836713
chr10	1836718	-0.144	0.4403	0.715665	chr10_1836718
chr10	1836731	0.3138	0.546	0.492709613	chr10_1836731
chr10	1836926	0.5921	0.5576	0.200828381	chr10_1836926
chr10	18370310	-0.274	0.2655	0.284424925	chr10_18370310
chr10	18373649	0.0137	0.6296	0.977655886	chr10_18373649
chr10	18376422	-0.03068	0.2918	0.912469259	chr10_18376422
chr10	18376486	0.08129	0.25	0.737003739	chr10_18376486
chr10	18378061	-0.6783	0.3601	0.043477121	chr10_18378061
chr10	18378099	-0.007463	0.4584	0.985384726	chr10_18378099
chr10	18378301	0.1561	0.8033	0.744213365	chr10_18378301
chr10	1838	1.08	0.3853	0.002385221	chr10_1838
chr10	18380146	0.5233	0.5211	0.239355722	chr10_18380146
chr10	18381261	0.343	0.9004	0.381246757	chr10_18381261
chr10	18388723	0.4667	0.4187	0.219668809	chr10_18388723
chr10	18389095	0.04452	0.4316	0.908960417	chr10_18389095
chr10	18389889	-0.1717	0.1531	0.256430409	chr10_18389889
chr10	18391378	-0.1313	0.3581	0.69454111	chr10_18391378
chr10	1840718	-0.5363	0.5155	0.224709746	chr10_1840718
chr10	1840723	-0.7974	0.6067	0.098253406	chr10_1840723
chr10	1841616	-0.4427	0.4922	0.301483989	chr10_1841616
chr10	1841647	-0.3543	0.2761	0.181834256	chr10_1841647
chr10	1841649	-0.5322	0.3104	0.071285982	chr10_1841649
chr10	1841671	-0.494	0.4586	0.22544503	chr10_1841671
chr10	1841679	-0.2777	0.2916	0.319444337	chr10_1841679
chr10	1841687	-0.1469	0.2791	0.5836125	chr10_1841687
chr10	1841733	-0.8266	0.4767	0.04854648	chr10_1841733
chr10	1841736	-0.1904	0.4751	0.648791423	chr10_1841736
chr10	1841755	-0.3164	0.4704	0.445931763	chr10_1841755
chr10	1841765	-0.6279	0.4558	0.121695183	chr10_1841765
chr10	1841947	0.2599	0.282	0.336744034	chr10_1841947
chr10	1842114	-0.1793	0.2804	0.505303623	chr10_1842114
chr10	184224	0.01089	0.2588	0.965252765	chr10_184224
chr10	1842995	0.08322	0.2445	0.725571949	chr10_1842995
chr10	1843026	-0.1237	0.4855	0.770713651	chr10_1843026
chr10	1843036	0.09903	0.273	0.706121105	chr10_1843036
chr10	18433372	1.822	0.5745	0.000106759	chr10_18433372
chr10	1843390	0.2897	0.3701	0.399456513	chr10_1843390
chr10	1843543	-0.6129	0.2421	0.009074904	chr10_1843543
chr10	1844359	1.039	0.6322	0.033910362	chr10_1844359
chr10	1844678	0.09653	0.6387	0.844282868	chr10_1844678
chr10	1844683	0.02238	0.5331	0.96042544	chr10_1844683
chr10	18446865	-0.2091	0.5635	0.653302832	chr10_18446865
chr10	1844766	-0.1303	0.4099	0.727460645	chr10_1844766
chr10	1844788	0.1162	0.3321	0.71067621	chr10_1844788
chr10	1844832	0.365	0.3911	0.310566117	chr10_1844832
chr10	18453777	-0.3347	0.4176	0.377733863	chr10_18453777
chr10	18453829	-0.495	0.4197	0.193807933	chr10_18453829
chr10	18453879	-0.7537	0.4454	0.058756481	chr10_18453879
chr10	18457148	0.1703	0.4317	0.661865843	chr10_18457148
chr10	18459518	-0.06764	0.5687	0.885028695	chr10_18459518
chr10	18460470	-0.01047	0.2388	0.963987365	chr10_18460470
chr10	18460493	0.02152	0.2288	0.923029039	chr10_18460493
chr10	18463170	0.2414	0.5967	0.614159495	chr10_18463170
chr10	18463362	0.1626	0.5057	0.709369396	chr10_18463362
chr10	18470754	0.1961	0.5601	0.6725663	chr10_18470754
chr10	18470757	0.2592	0.5037	0.551391505	chr10_18470757
chr10	18470763	0.4518	0.5382	0.319239195	chr10_18470763
chr10	18470767	0.4783	0.4733	0.251301717	chr10_18470767
chr10	18470772	0.4644	0.4761	0.267341622	chr10_18470772
chr10	18470783	0.4265	0.4514	0.289666345	chr10_18470783
chr10	18470787	0.4025	0.48	0.339145384	chr10_18470787
chr10	18470790	0.4396	0.4667	0.286860574	chr10_18470790
chr10	18470796	0.3887	0.5019	0.370571675	chr10_18470796
chr10	1847533	0.08655	0.6355	0.859986438	chr10_1847533
chr10	1847570	-0.2738	0.4554	0.499471688	chr10_1847570
chr10	1847687	-0.0768	0.3125	0.795853499	chr10_1847687
chr10	1847692	-0.3455	0.2956	0.221146748	chr10_1847692
chr10	1847697	0.09219	0.5088	0.833300299	chr10_1847697
chr10	1847735	-0.09543	0.3851	0.78830291	chr10_1847735
chr10	1847739	0.203	0.5943	0.671040754	chr10_1847739
chr10	1847741	-0.1286	0.4769	0.759000778	chr10_1847741
chr10	1847756	-0.4757	0.2567	0.055188992	chr10_1847756
chr10	1847806	-0.3393	0.4068	0.361225529	chr10_1847806
chr10	1847839	0.484	0.4579	0.234451203	chr10_1847839
chr10	1847869	-0.178	0.2679	0.490423462	chr10_1847869
chr10	1847890	-0.06114	0.2491	0.799934132	chr10_1847890
chr10	1847959	-0.324	0.3629	0.337999651	chr10_1847959
chr10	1847970	0.06188	0.52	0.889199547	chr10_1847970
chr10	18482886	0.07795	0.6065	0.871582398	chr10_18482886
chr10	18485720	-0.2607	0.5089	0.551773484	chr10_18485720
chr10	18488026	0.0751	0.7799	0.877729212	chr10_18488026
chr10	1850520	-0.2323	0.769	0.636530227	chr10_1850520
chr10	1850777	0.3764	0.3019	0.190943671	chr10_1850777
chr10	1850796	-0.3316	0.7174	0.507019756	chr10_1850796
chr10	1850901	-0.004604	0.2058	0.98176148	chr10_1850901
chr10	1850903	-0.08645	0.1926	0.647367837	chr10_1850903
chr10	1850955	0.2871	0.2667	0.264017116	chr10_1850955
chr10	1851050	0.1989	0.3932	0.582207253	chr10_1851050
chr10	1851088	-0.1792	0.3743	0.60565137	chr10_1851088
chr10	1851137	-0.2414	0.339	0.449101376	chr10_1851137
chr10	1851175	0.02273	0.3021	0.937090059	chr10_1851175
chr10	18512190	0.4867	0.3545	0.14202947	chr10_18512190
chr10	1851224	-0.286	0.2856	0.296058685	chr10_1851224
chr10	18512318	-0.5879	0.7075	0.239674516	chr10_18512318
chr10	1851232	-0.5619	0.1997	0.004084484	chr10_1851232
chr10	1851259	-0.4691	0.2419	0.045653086	chr10_1851259
chr10	1851279	0.2142	0.4348	0.584339061	chr10_1851279
chr10	1851313	0.08622	0.2196	0.687355325	chr10_1851313
chr10	18513226	-0.5749	0.5927	0.228475254	chr10_18513226
chr10	18513425	0.2834	0.431	0.466187394	chr10_18513425
chr10	1851343	-0.3905	0.2681	0.130560604	chr10_1851343
chr10	1851356	-0.07294	0.2072	0.718969803	chr10_1851356
chr10	1851392	-0.01742	0.385	0.960898709	chr10_1851392
chr10	1851451	-0.06985	0.4296	0.857109415	chr10_1851451
chr10	18516363	-0.158	0.276	0.551443672	chr10_18516363
chr10	1851728	-0.5902	0.5729	0.208785326	chr10_1851728
chr10	18517767	-0.05469	0.5463	0.904862334	chr10_18517767
chr10	18520090	-0.1254	0.468	0.761735511	chr10_18520090
chr10	18520686	-0.4153	0.6085	0.389760136	chr10_18520686
chr10	1852406	-0.9283	0.5217	0.037005388	chr10_1852406
chr10	1852418	0.03808	0.6128	0.93732232	chr10_1852418
chr10	1852439	-0.5	0.4519	0.214861638	chr10_1852439
chr10	1852782	-0.1419	0.586	0.765065127	chr10_1852782
chr10	1852864	0.439	0.4229	0.251981332	chr10_1852864
chr10	1853028	-0.5894	0.3964	0.105326902	chr10_1853028
chr10	1853193	-0.6653	0.3372	0.036103925	chr10_1853193
chr10	18536714	0.09229	0.5026	0.831793816	chr10_18536714
chr10	1853935	0.3267	0.5858	0.491370899	chr10_1853935
chr10	1853952	0.8081	0.7438	0.104068767	chr10_1853952
chr10	1853969	0.3949	0.5869	0.405952418	chr10_1853969
chr10	1853994	-0.1574	0.6172	0.745844276	chr10_1853994
chr10	1854	0.3763	0.3179	0.211858645	chr10_1854
chr10	1854000	-0.349	0.5941	0.465209636	chr10_1854000
chr10	1854006	-0.5314	0.7249	0.287245943	chr10_1854006
chr10	1854563	-0.1632	0.3618	0.628487756	chr10_1854563
chr10	18547366	-1.094	0.894	0.006312418	chr10_18547366
chr10	18547390	-0.3138	0.7528	0.526563054	chr10_18547390
chr10	18547414	-0.14	0.7363	0.778710664	chr10_18547414
chr10	1855125	0.1675	0.7366	0.736703939	chr10_1855125
chr10	1855615	-0.496	0.4554	0.221189107	chr10_1855615
chr10	1855618	-0.1371	0.3652	0.68675359	chr10_1855618
chr10	1855629	-0.05752	0.2472	0.810222562	chr10_1855629
chr10	1855646	0.01629	0.241	0.944475285	chr10_1855646
chr10	1855660	0.6556	0.4041	0.076123455	chr10_1855660
chr10	1855692	-0.2526	0.386	0.478087377	chr10_1855692
chr10	1855698	-0.1308	0.3728	0.705344342	chr10_1855698
chr10	1856	0.3754	0.4574	0.356043611	chr10_1856
chr10	1856105	-0.2331	0.3073	0.425385837	chr10_1856105
chr10	1856175	-0.1124	0.1983	0.563060081	chr10_1856175
chr10	1857007	-0.1594	0.6329	0.744955634	chr10_1857007
chr10	1857172	0.2914	0.5912	0.541110083	chr10_1857172
chr10	1857220	-0.6617	0.6016	0.168529235	chr10_1857220
chr10	1857265	0.09116	0.3318	0.770865633	chr10_1857265
chr10	1857354	-0.01127	0.6667	0.981905361	chr10_1857354
chr10	1857987	0.06491	0.5558	0.888277583	chr10_1857987
chr10	1858056	0.4667	0.5228	0.295006304	chr10_1858056
chr10	1858114	0.1997	0.6855	0.689064305	chr10_1858114
chr10	1858125	0.1066	0.7102	0.831164576	chr10_1858125
chr10	1858274	-0.2498	0.3322	0.425316132	chr10_1858274
chr10	1858346	0.1919	0.2301	0.39145561	chr10_1858346
chr10	1858361	-0.005126	0.1695	0.97552003	chr10_1858361
chr10	1858377	0.6025	0.6829	0.22714813	chr10_1858377
chr10	1858379	0.1703	0.3538	0.606810779	chr10_1858379
chr10	1858889	-0.04494	0.2717	0.86354102	chr10_1858889
chr10	1858903	-0.05761	0.2396	0.804400415	chr10_1858903
chr10	1858957	-0.4943	0.5115	0.26074701	chr10_1858957
chr10	1858980	-0.6169	0.525	0.167396242	chr10_1858980
chr10	1859034	-0.2512	0.4465	0.529510708	chr10_1859034
chr10	1859079	-0.4474	0.291	0.108053658	chr10_1859079
chr10	1859167	-0.2742	0.2553	0.266636472	chr10_1859167
chr10	1859237	0.1105	0.2054	0.582528432	chr10_1859237
chr10	1859255	-0.3995	0.4864	0.347200898	chr10_1859255
chr10	1859287	-0.1012	0.4237	0.792021218	chr10_1859287
chr10	1859474	-0.4786	0.7193	0.338173893	chr10_1859474
chr10	1859496	0.05461	0.7938	0.909937413	chr10_1859496
chr10	1859939	0.3944	0.3031	0.172110608	chr10_1859939
chr10	1860023	0.1619	0.2908	0.560642843	chr10_1860023
chr10	1861961	0.5349	0.7156	0.284568658	chr10_1861961
chr10	1862964	0.4756	0.5373	0.293933049	chr10_1862964
chr10	1863019	0.1008	0.2413	0.666863228	chr10_1863019
chr10	1863037	-0.2043	0.3775	0.558927945	chr10_1863037
chr10	1863061	-0.453	0.445	0.255650677	chr10_1863061
chr10	1864004	-0.01675	0.6103	0.972362037	chr10_1864004
chr10	1864010	0.1208	0.613	0.803034797	chr10_1864010
chr10	1864014	-0.3435	0.4629	0.40250676	chr10_1864014
chr10	1864030	0.208	0.4667	0.614311479	chr10_1864030
chr10	1864962	0.4655	0.4688	0.260952194	chr10_1864962
chr10	1864982	0.213	0.2478	0.374951864	chr10_1864982
chr10	1864999	-0.03006	0.2333	0.894586106	chr10_1864999
chr10	1865898	-0.1816	0.5274	0.685273562	chr10_1865898
chr10	1865976	0.09035	0.5195	0.838714528	chr10_1865976
chr10	1866178	0.001522	0.6014	0.997472612	chr10_1866178
chr10	1866262	-0.6191	0.5936	0.194980214	chr10_1866262
chr10	1866267	-0.04065	0.5486	0.929380248	chr10_1866267
chr10	1866300	-0.2148	0.6618	0.665055736	chr10_1866300
chr10	1866385	-0.04726	0.6323	0.923141751	chr10_1866385
chr10	1866396	-0.3196	0.3035	0.269082726	chr10_1866396
chr10	18672998	0.1956	0.7179	0.69551252	chr10_18672998
chr10	18678925	0.3747	0.7536	0.449403496	chr10_18678925
chr10	1868362	0.158	0.3903	0.660161948	chr10_1868362
chr10	1868414	-0.2675	0.7061	0.592648359	chr10_1868414
chr10	1868432	-0.3828	0.6964	0.443708435	chr10_1868432
chr10	1868453	0.813	0.6518	0.100034519	chr10_1868453
chr10	1868653	0.06774	0.3681	0.843105305	chr10_1868653
chr10	1868659	0.1727	0.3462	0.594915675	chr10_1868659
chr10	1868760	0.2836	0.662	0.567608909	chr10_1868760
chr10	1868787	-0.5537	0.8356	0.227722358	chr10_1868787
chr10	1868831	-0.4409	0.2799	0.100841191	chr10_1868831
chr10	1868833	-0.235	0.2257	0.285167413	chr10_1868833
chr10	1869048	-0.2383	0.4071	0.521607349	chr10_1869048
chr10	1869074	0.01068	0.2334	0.962466953	chr10_1869074
chr10	1869104	-0.01915	0.2652	0.940301237	chr10_1869104
chr10	1869175	-0.4408	0.2016	0.025592333	chr10_1869175
chr10	1869269	-0.2409	0.2547	0.328037023	chr10_1869269
chr10	1869280	-0.1594	0.3721	0.644425578	chr10_1869280
chr10	1869330	0.3618	0.5348	0.423346351	chr10_1869330
chr10	1869352	-0.101	0.4828	0.811197024	chr10_1869352
chr10	1869443	-0.6278	0.7515	0.205418791	chr10_1869443
chr10	1869461	-0.5502	0.5916	0.248688885	chr10_1869461
chr10	1869492	-0.6414	0.5944	0.179646071	chr10_1869492
chr10	1869711	0.1036	0.649	0.833806545	chr10_1869711
chr10	1869792	0.145	0.2112	0.482431557	chr10_1869792
chr10	1869874	-0.4114	0.7669	0.403217549	chr10_1869874
chr10	1871002	0.007853	0.8245	0.986570681	chr10_1871002
chr10	1871132	0.05088	0.5967	0.915376945	chr10_1871132
chr10	1871146	-0.7916	0.694	0.113132538	chr10_1871146
chr10	1871179	0.1201	0.4735	0.773368931	chr10_1871179
chr10	18719244	-0.09601	0.5472	0.833960039	chr10_18719244
chr10	1872006	-0.2024	0.501	0.640641964	chr10_1872006
chr10	1872012	-0.255	0.3374	0.422056827	chr10_1872012
chr10	1872038	-0.7211	0.447	0.07132602	chr10_1872038
chr10	1872075	-0.05414	0.4964	0.900018767	chr10_1872075
chr10	18726559	0.1221	0.6787	0.806487083	chr10_18726559
chr10	18726583	-0.05636	0.4575	0.88981352	chr10_18726583
chr10	18732168	0.5943	0.3441	0.065849982	chr10_18732168
chr10	18732173	0.1546	0.3531	0.639798155	chr10_18732173
chr10	18732192	-0.3604	0.5106	0.411695701	chr10_18732192
chr10	18732206	0.03426	0.4746	0.93463716	chr10_18732206
chr10	18732226	-0.251	0.3779	0.473130879	chr10_18732226
chr10	1874683	0.2183	0.2921	0.434551665	chr10_1874683
chr10	1875826	0.2681	0.5411	0.555743403	chr10_1875826
chr10	1875837	0.2308	0.3349	0.464537065	chr10_1875837
chr10	1875841	0.1153	0.4006	0.753425866	chr10_1875841
chr10	1875846	0.4166	0.3528	0.206953719	chr10_1875846
chr10	18762617	-0.07608	0.7268	0.878868897	chr10_18762617
chr10	1876460	-0.02614	0.2227	0.904165284	chr10_1876460
chr10	1876483	0.2304	0.5644	0.620943994	chr10_1876483
chr10	18767716	0.0561	0.5842	0.905814996	chr10_18767716
chr10	18767722	0.3173	0.7195	0.525430298	chr10_18767722
chr10	18767727	0.2139	0.5599	0.644741234	chr10_18767727
chr10	18767733	-0.5772	0.5818	0.222544773	chr10_18767733
chr10	18767749	0.005277	0.5192	0.99051161	chr10_18767749
chr10	18767774	-0.3439	0.2653	0.178804419	chr10_18767774
chr10	18767788	-0.101	0.2562	0.683394628	chr10_18767788
chr10	18767842	-0.08088	0.4554	0.841880549	chr10_18767842
chr10	18767851	-0.02638	0.5402	0.953725307	chr10_18767851
chr10	18767865	-0.1854	0.4171	0.624791151	chr10_18767865
chr10	18767874	0.6132	0.4	0.094398162	chr10_18767874
chr10	18767898	-0.156	0.4246	0.684888757	chr10_18767898
chr10	18767923	-0.4615	0.4426	0.244911932	chr10_18767923
chr10	1877670	-0.3019	0.5795	0.522664024	chr10_1877670
chr10	1877693	-0.55	0.5484	0.230391069	chr10_1877693
chr10	1877712	-0.03808	0.6097	0.937194189	chr10_1877712
chr10	1877715	-0.216	0.6933	0.665506407	chr10_1877715
chr10	1877784	-0.4064	0.2882	0.140855003	chr10_1877784
chr10	1877812	-0.8864	0.3076	0.002457719	chr10_1877812
chr10	1878221	-0.3576	0.379	0.307917603	chr10_1878221
chr10	1878279	-0.01227	0.8314	0.978811356	chr10_1878279
chr10	1878302	-0.9071	0.6058	0.059834696	chr10_1878302
chr10	18783146	-0.3763	0.6115	0.436730062	chr10_18783146
chr10	18783247	0.8348	0.4884	0.050140657	chr10_18783247
chr10	18783275	0.3161	0.5645	0.497525192	chr10_18783275
chr10	18784529	-0.6753	0.3474	0.038174133	chr10_18784529
chr10	1878458	-0.204	0.2843	0.45419733	chr10_1878458
chr10	18784583	-0.4622	0.3546	0.163309443	chr10_18784583
chr10	18784743	-0.3342	0.3011	0.244445897	chr10_18784743
chr10	1878579	-0.05506	0.4214	0.885439759	chr10_1878579
chr10	18785885	-0.02497	0.2852	0.927217358	chr10_18785885
chr10	18785914	-0.3149	0.2106	0.126126654	chr10_18785914
chr10	1878605	0.06901	0.3608	0.837507166	chr10_1878605
chr10	1878619	-0.2748	0.761	0.577791784	chr10_1878619
chr10	18786834	0.01925	0.2476	0.936042395	chr10_18786834
chr10	18788966	0.02435	0.6427	0.960558075	chr10_18788966
chr10	18788997	-0.2657	0.5874	0.576216177	chr10_18788997
chr10	18814087	-0.1803	0.2646	0.479821307	chr10_18814087
chr10	18814290	-0.0854	0.4376	0.828177527	chr10_18814290
chr10	1881897	0.4162	0.7907	0.389902721	chr10_1881897
chr10	1881909	0.07597	0.8453	0.866417831	chr10_1881909
chr10	1881934	-0.3109	0.8926	0.439782759	chr10_1881934
chr10	1882390	-0.04813	0.3122	0.871089229	chr10_1882390
chr10	1882412	-0.2854	0.3846	0.421452858	chr10_1882412
chr10	1882414	-0.1717	0.3001	0.548647392	chr10_1882414
chr10	1882441	-0.1696	0.3278	0.583933791	chr10_1882441
chr10	1882496	0.1273	0.2986	0.655090146	chr10_1882496
chr10	1882506	-0.3421	0.3346	0.277943298	chr10_1882506
chr10	1884402	-0.2968	0.4545	0.463484521	chr10_1884402
chr10	1884461	-0.1345	0.3591	0.688187783	chr10_1884461
chr10	1884616	0.3284	0.4735	0.431033426	chr10_1884616
chr10	18856639	0.4581	0.4932	0.285644003	chr10_18856639
chr10	18856650	0.003166	0.5601	0.994555866	chr10_18856650
chr10	18860488	0.2974	0.3962	0.413623006	chr10_18860488
chr10	18860509	0.2521	0.8658	0.560635751	chr10_18860509
chr10	18860511	0.4524	0.4728	0.277527987	chr10_18860511
chr10	18860600	0.1835	0.4332	0.638369366	chr10_18860600
chr10	18860690	0.6874	0.3221	0.024179872	chr10_18860690
chr10	18860724	-0.191	0.3606	0.570116878	chr10_18860724
chr10	1887274	0.7347	0.6955	0.141513148	chr10_1887274
chr10	1887536	-0.0376	0.5294	0.933280866	chr10_1887536
chr10	18882065	-0.6154	0.5579	0.183801426	chr10_18882065
chr10	18882135	0.1841	0.4499	0.646814169	chr10_18882135
chr10	1888332	0.9182	0.8605	0.0362137	chr10_1888332
chr10	1888355	0.3081	0.5137	0.484518921	chr10_1888355
chr10	1888622	-1.215	0.581	0.010188265	chr10_1888622
chr10	18886320	-0.224	0.3625	0.507312829	chr10_18886320
chr10	18886334	0.1936	0.584	0.6829921	chr10_18886334
chr10	1888638	0.1069	0.5982	0.823533147	chr10_1888638
chr10	1888973	0.128	0.407	0.730618215	chr10_1888973
chr10	1889044	-0.3851	0.5514	0.402495315	chr10_1889044
chr10	1889109	-0.1041	0.4114	0.781303829	chr10_1889109
chr10	1889124	0.2238	0.396	0.538247342	chr10_1889124
chr10	1889131	-0.05447	0.4258	0.887569023	chr10_1889131
chr10	1889136	-0.1566	0.3357	0.620440286	chr10_1889136
chr10	1889178	0.1003	0.5678	0.830083773	chr10_1889178
chr10	1889186	-0.02713	0.421	0.94336222	chr10_1889186
chr10	1889193	0.6206	0.4272	0.108118724	chr10_1889193
chr10	1889240	0.2029	0.3549	0.540857022	chr10_1889240
chr10	1889267	-0.08308	0.4293	0.830333204	chr10_1889267
chr10	1889279	0.05126	0.5134	0.907376555	chr10_1889279
chr10	1889417	0.2048	0.2603	0.415143851	chr10_1889417
chr10	1889427	0.1818	0.2652	0.477097837	chr10_1889427
chr10	1889437	-0.1693	0.1877	0.358465705	chr10_1889437
chr10	1889511	-0.7776	0.3879	0.02963502	chr10_1889511
chr10	1889529	-0.5642	0.2652	0.027352043	chr10_1889529
chr10	18896817	-0.2146	0.3023	0.456432015	chr10_18896817
chr10	18896827	0.1842	0.4783	0.661003424	chr10_18896827
chr10	18897754	1.122	0.3365	0.000398898	chr10_18897754
chr10	18897788	-0.572	0.4501	0.154696948	chr10_18897788
chr10	18897799	-0.3432	0.414	0.362455576	chr10_18897799
chr10	18898690	-0.161	0.4652	0.695820355	chr10_18898690
chr10	1889974	0.2498	0.511	0.569558287	chr10_1889974
chr10	1889980	-0.4245	0.2568	0.087192622	chr10_1889980
chr10	1889982	-0.4103	0.3136	0.168246357	chr10_1889982
chr10	18909748	-0.3883	0.3967	0.286279671	chr10_18909748
